date,open,high,low,close,volume,source
2025-09-08,815.9,818.61,813.43,818.6,900,yfinance
2025-09-09,820.75,824.82,817.4,824.82,1300,yfinance
2025-09-10,828.4,833.21,827.57,833.0,900,yfinance
2025-09-11,834.68,836.55,831.23,834.76,1000,yfinance
2025-09-12,839.73,847.36,839.56,847.08,1000,yfinance
2025-09-15,849.64,852.69,843.43,852.69,900,yfinance
2025-09-16,854.4,855.5,850.15,851.84,1000,yfinance
2025-09-17,850.15,850.15,844.16,845.53,1000,yfinance
2025-09-18,851.94,857.12,850.23,857.11,1000,yfinance
2025-09-19,858.08,863.11,854.0,863.11,1000,yfinance
2025-09-22,869.06,875.27,867.11,874.36,1000,yfinance
2025-09-23,877.18,877.56,866.65,872.21,1000,yfinance
2025-09-24,870.54,871.82,851.38,860.94,1000,yfinance
2025-09-25,858.45,862.08,850.13,852.48,900,yfinance
2025-09-26,847.67,847.73,829.47,835.19,700,yfinance
2025-09-29,840.62,847.57,837.89,846.71,700,yfinance
2025-09-30,847.52,849.18,841.65,841.99,800,yfinance
2025-10-01,846.32,849.8,844.0,845.34,600,yfinance
2025-10-02,853.4,854.87,848.75,854.25,800,yfinance
2025-10-10,858.86,859.98,849.64,859.49,800,yfinance
2025-10-13,845.76,861.79,840.28,860.49,700,yfinance
2025-10-14,865.37,870.72,839.27,847.96,1000,yfinance
2025-10-15,853.17,864.77,850.3,864.72,900,yfinance
2025-10-16,866.82,868.36,862.63,865.41,900,yfinance
2025-10-17,862.71,871.06,859.19,859.54,900,yfinance
2025-10-20,864.98,876.47,862.01,875.77,800,yfinance
2025-10-21,881.53,882.1,867.62,872.5,1100,yfinance
2025-10-22,872.51,879.31,866.21,879.15,900,yfinance
2025-10-23,874.13,880.33,868.74,872.03,1100,yfinance
2025-10-24,880.61,884.06,876.38,883.08,1000,yfinance
2025-10-27,890.23,902.72,888.87,902.7,1000,yfinance
2025-10-28,902.82,906.71,896.36,903.3,800,yfinance
2025-10-29,906.5,906.5,896.11,901.59,1000,yfinance
2025-10-30,903.24,904.34,883.68,890.86,1200,yfinance
2025-10-31,894.54,901.8,891.32,900.42,900,yfinance
2025-11-03,906.19,914.91,902.29,914.55,1000,yfinance
2025-11-04,914.87,932.15,912.78,926.57,900,yfinance
2025-11-05,919.28,919.28,871.79,901.89,1100,yfinance
2025-11-06,915.43,921.22,890.58,898.17,981000,yfinance
2025-11-07,882.94,894.83,864.67,876.81,1041100,yfinance
2025-11-10,882.44,889.08,872.13,888.35,700,yfinance
2025-11-11,893.91,903.09,876.56,884.27,1000,yfinance
2025-11-12,890.99,906.59,887.2,906.51,1000,yfinance
2025-11-13,904.36,920.13,902.34,918.37,900,yfinance
2025-11-14,900.42,910.04,897.09,897.9,800,yfinance
2025-11-17,904.15,905.42,895.69,902.67,700,yfinance
2025-11-18,899.62,900.73,873.04,878.7,800,yfinance
2025-11-19,881.49,881.81,854.23,871.32,700,yfinance
2025-11-20,884.1,894.87,884.1,891.94,600,yfinance
2025-11-21,867.45,870.51,860.17,863.95,800,yfinance
2025-11-24,873.3,873.3,850.09,856.44,700,yfinance
2025-11-25,867.84,871.68,851.41,856.03,700,yfinance
2025-11-26,863.28,877.58,859.32,877.32,600,yfinance
2025-11-27,879.44,884.0,878.04,880.06,721100,yfinance
2025-11-28,888.75,912.67,888.1,912.67,800,yfinance
2025-12-01,920.69,933.26,917.18,922.38,800,yfinance
2025-12-02,921.37,928.42,914.67,928.42,800,yfinance
2025-12-03,931.49,932.98,926.08,932.01,800,yfinance
2025-12-04,934.01,937.88,924.62,929.83,800,yfinance
2025-12-05,930.75,933.06,916.11,924.74,700,yfinance
2025-12-08,928.52,929.92,922.17,927.79,700,yfinance
2025-12-09,926.93,932.57,924.55,931.35,700,yfinance
2025-12-10,932.37,936.75,927.36,935.0,800,yfinance
2025-12-11,940.59,943.19,929.56,934.64,900,yfinance
2025-12-12,933.99,938.11,930.21,937.34,1000,yfinance
2025-12-15,925.6,939.42,921.09,938.83,1000,yfinance
2025-12-16,938.23,938.23,915.49,916.11,900,yfinance
2025-12-17,922.03,922.74,907.24,911.07,1000,yfinance
2025-12-18,899.3,907.54,895.19,901.33,900,yfinance
2025-12-19,909.7,922.1,899.25,915.27,1000,yfinance
2025-12-22,923.97,929.83,923.2,929.14,1000,yfinance
2025-12-23,932.48,932.48,918.54,919.56,1000,yfinance
2025-12-24,921.01,921.01,913.21,915.2,800,yfinance
2025-12-26,920.9,923.61,913.85,919.67,800,yfinance
2025-12-29,923.22,932.64,921.12,932.59,900,yfinance
2025-12-30,928.99,929.95,920.56,925.47,800,yfinance
2026-01-02,930.35,945.57,930.35,945.57,900,yfinance
2026-01-05,948.56,957.59,945.27,957.5,1100,yfinance
2026-01-06,959.38,960.35,950.07,955.97,1000,yfinance
2026-01-07,957.74,957.93,937.95,947.39,1100,yfinance
2026-01-08,950.71,951.77,943.08,944.06,1000,yfinance
2026-01-09,944.74,948.06,935.54,947.92,900,yfinance
2026-01-12,948.48,957.37,939.33,949.81,1100,yfinance
2026-01-13,954.75,954.75,941.34,948.98,1100,yfinance
2026-01-14,951.03,951.03,937.72,942.18,900,yfinance
2026-01-15,940.66,951.48,937.74,951.16,1000,yfinance
2026-01-16,950.83,956.23,943.43,954.59,1200,yfinance
2026-01-19,952.93,969.09,950.63,968.36,1300,yfinance
2026-01-20,973.17,986.23,954.64,976.37,1400,yfinance
2026-01-21,958.05,962.13,933.31,951.29,1600,yfinance
2026-01-22,963.77,972.38,956.09,970.35,1400,yfinance
2026-01-23,977.15,998.32,975.25,993.93,1500,yfinance
2026-01-26,1003.9,1064.44,1003.85,1064.41,1500,yfinance
2026-01-27,1054.19,1082.59,1054.16,1082.59,1300,yfinance
2026-01-28,1093.47,1133.52,1092.62,1133.52,1600,yfinance
2026-01-29,1153.43,1167.57,1108.43,1164.41,1500,yfinance
2026-01-30,1166.23,1180.87,1146.34,1149.44,1500,yfinance
2026-02-02,1128.57,1151.17,1089.89,1098.36,1200,yfinance
2026-02-03,1135.94,1144.4,1119.65,1144.33,1200,yfinance
2026-02-04,1139.02,1158.74,1136.73,1149.43,1200,yfinance
2026-02-05,1137.08,1143.21,1104.63,1108.41,1400,yfinance
2026-02-06,1077.08,1096.16,1048.28,1080.77,1500,yfinance
2026-02-09,1109.91,1131.72,1106.07,1127.55,1100,yfinance
2026-02-10,1132.24,1141.67,1109.44,1115.2,1300,yfinance
2026-02-11,1120.62,1126.1,1110.53,1114.87,1300,yfinance
2026-02-12,1122.55,1127.8,1110.18,1125.99,1600,yfinance
2026-02-13,1113.53,1117.91,1099.62,1106.08,1500,yfinance
2026-02-19,1122.2,1163.66,1111.28,1160.71,1400,yfinance
2026-02-20,1161.4,1162.62,1147.72,1154.0,1300,yfinance
2026-02-23,1166.94,1174.66,1143.38,1151.99,1400,yfinance
2026-02-24,1159.76,1165.32,1146.22,1165.0,1300,yfinance
2026-02-25,1174.27,1174.27,1158.18,1165.25,1500,yfinance
2026-02-26,1176.15,1190.85,1161.4,1188.15,1400,yfinance
2026-02-27,1175.4,1201.89,1173.16,1192.78,1300,yfinance
2026-03-03,1169.82,1215.67,1137.7,1137.7,1300,yfinance
2026-03-04,1112.08,1112.08,976.54,978.44,1500,yfinance
2026-03-05,1023.84,1149.54,1023.84,1116.41,1000,yfinance
2026-03-06,1117.49,1154.67,1092.43,1154.67,1000,yfinance
2026-03-09,1096.48,1113.56,1067.24,1102.28,1000,yfinance
2026-03-10,1147.99,1157.2,1123.79,1137.68,1000,yfinance
2026-03-11,1155.48,1167.26,1121.45,1136.83,1300,yfinance
2026-03-12,1132.0,1150.65,1128.22,1148.4,1300,yfinance
2026-03-13,1122.28,1158.01,1119.74,1152.96,1300,yfinance
2026-03-16,1156.5,1157.32,1124.98,1138.29,1200,yfinance
2026-03-17,1156.83,1160.12,1136.94,1136.94,1200,yfinance
2026-03-18,1156.46,1164.38,1149.88,1164.38,1300,yfinance
2026-03-19,1139.12,1153.84,1138.8,1143.48,1200,yfinance
2026-03-20,1153.67,1165.96,1144.37,1161.52,1300,yfinance
2026-03-23,1129.86,1130.44,1095.56,1096.89,1100,yfinance
2026-03-24,1134.16,1135.71,1094.67,1121.44,1200,yfinance
2026-03-25,1133.31,1160.06,1131.77,1159.55,1100,yfinance
2026-03-26,1159.61,1169.46,1135.33,1136.64,1200,yfinance
2026-03-27,1119.77,1146.07,1101.93,1141.51,1500,yfinance
2026-03-30,1101.77,1113.79,1094.48,1107.05,1100,yfinance
2026-03-31,1099.08,1099.08,1049.76,1052.39,1200,yfinance
2026-04-01,1090.36,1122.8,1089.31,1116.18,1100,yfinance
2026-04-02,1130.16,1132.4,1040.07,1056.34,1500,yfinance
2026-04-03,1079.17,1083.24,1054.12,1063.75,1000,yfinance
2026-04-06,1068.33,1077.04,1044.85,1047.37,1200,yfinance
2026-04-07,1060.25,1068.86,1026.95,1036.73,1200,yfinance
2026-04-08,1084.57,1090.04,1071.35,1089.85,1200,yfinance
2026-04-09,1083.4,1091.38,1068.82,1076.0,1200,yfinance
2026-04-10,1089.14,1098.43,1082.92,1093.63,1500,yfinance
2026-04-13,1076.85,1101.11,1074.84,1099.84,1300,yfinance
2026-04-14,1120.61,1125.92,1118.05,1121.88,1400,yfinance
2026-04-15,1140.62,1156.02,1135.35,1152.43,1500,yfinance
2026-04-16,1163.0,1168.77,1156.31,1162.97,1900,yfinance
2026-04-17,1166.78,1170.63,1156.02,1170.04,1800,yfinance
2026-04-20,1167.1,1186.2,1161.0,1174.85,1500,yfinance
2026-04-21,1186.23,1187.0,1172.18,1179.03,1600,yfinance
2026-04-22,1176.83,1181.12,1160.5,1181.12,1400,yfinance
