section,항목,현재가,등락률,상태,테마,관련 뉴스 개수,긍정 뉴스 비율,부정 뉴스 비율,관련 종목,테마 점수,구분,종목명,티커,RSI,MACD 상태,거래량 상태,지지선,저항선,손절가,목표가,손익비,종합점수,뉴스 보조점수,뉴스 반영점수,뉴스 모멘텀,최종판단,매수 후보,주의 신호,데이터 상태,평균매수가,수익률,평가손익,손절가 이탈 여부,익절 구간 접근 여부,현재 대응 의견,언급 횟수,긍정 뉴스,부정 뉴스,평균 중요도,datetime,title,source,summary,ticker,theme,sentiment,importance,url,market,collected_at,momentum,부정/주의 뉴스,시장,섹터,계좌,메모,현재가_숫자,평균매수가_숫자,보유수량,평가금액_숫자,매입금액_숫자,평가손익_숫자,수익률_숫자,종합점수_숫자,손익비_숫자,RSI_숫자,등락률_숫자,지지선_숫자,저항선_숫자,손절가_숫자,목표가_숫자,목표비중_숫자,포트폴리오비중_숫자,추가매수 판단,비중축소 판단,대응 의견,목표 비중,목표 대비 차이,조정 필요 여부,평가금액,포트폴리오 비중
오늘의 주의 종목,,"169,500원",+1.62%,,,,,,,,관심,한국항공우주,047810.KS,34.0,약세,거래량 감소,"163,400원","205,500원","159,330원","211,665원",4.15,51.8,0.0,51.8,뉴스 부족으로 판단 보류,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$600.06,+0.20%,,,,,,,,관심,META,META,23.9,약세,거래량 감소,$592.65,$691.52,$564.06,$712.27,3.12,48.2,3.0,51.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘의 주의 종목,,$134.09,-2.05%,,,,,,,,관심,PLTR,PLTR,29.7,약세,거래량 감소,$131.15,$152.68,$126.04,$157.26,2.88,44.2,3.0,47.2,뉴스 모멘텀 긍정,관망 우위,제외,신규 매수 금지,정상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보유종목 점검,,"1,880,000원",,,,,,,,,,SK하이닉스,000660.KS,,,,,,,,,,,,,,,,,"180,000원",+944.44%,"17,000,000원",아니오,아니오,추가매수 금지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보유종목 점검,,$217.37,,,,,,,,,,NVIDIA,NVDA,,,,,,,,,,,,,,,,,$900.00,-75.85%,"$-1,365.27",아니오,아니오,보유 유지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
많이 언급된 테마 TOP 5,,,,,반도체 / AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
많이 언급된 테마 TOP 5,,,,,HBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
많이 언급된 테마 TOP 5,,,,,조선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
많이 언급된 테마 TOP 5,,,,,전력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
많이 언급된 테마 TOP 5,,,,,2차전지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
긍정 뉴스 종목 TOP 5,,,,,,,,,,,,,000660.KS,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
긍정 뉴스 종목 TOP 5,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
긍정 뉴스 종목 TOP 5,,,,,,,,,,,,,009540.KS,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
긍정 뉴스 종목 TOP 5,,,,,,,,,,,,,015760.KS,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
긍정 뉴스 종목 TOP 5,,,,,,,,,,,,,373220.KS,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 뉴스 종목 TOP 5,,,,,,,,,,,,,373220.KS,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 뉴스 종목 TOP 5,,,,,,,,,,,,,TSLA,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 뉴스 종목 TOP 5,,,,,,,,,,,,,000660.KS,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 뉴스 종목 TOP 5,,,,,,,,,,,,,NVDA,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부정 뉴스 종목 TOP 5,,,,,,,,,,,,,009540.KS,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
