market,ticker,total_cases,direction_hit_rate,avg_open_error_pct,avg_close_error_pct,entry_touch_rate,stop_touch_rate,tp1_touch_rate,avg_final_pnl_pct,main_failure_reason,recommended_atr_adjustment,recommended_entry_adjustment,recommended_tp_adjustment,recommended_confidence_penalty
한국주식,005490,2,0.0000,0.0755,5.4871,100.0000,100.0000,0.0000,-2.9773,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,005930,2,0.0000,1.9441,10.4350,100.0000,100.0000,0.0000,-4.1549,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,006260,2,0.0000,1.0494,9.5850,100.0000,100.0000,0.0000,-4.9743,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,006360,2,0.0000,2.1521,8.1779,100.0000,100.0000,0.0000,-3.9053,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,006400,2,100.0000,0.9719,1.7994,100.0000,0.0000,0.0000,-2.8977,익절 목표 과도,keep,keep,lower_tp1_target,0
한국주식,007660,2,0.0000,4.9811,3.3962,100.0000,100.0000,100.0000,-3.2759,갭상승 과소평가,increase_atr_range,lower_entry_or_widen_stop,keep,20
한국주식,009150,2,0.0000,3.3446,3.5211,100.0000,0.0000,100.0000,11.4700,방향 예측 실패,increase_atr_range,keep,keep,15
한국주식,009540,2,100.0000,0.3590,3.4749,100.0000,100.0000,0.0000,-2.6316,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,5
한국주식,010120,2,0.0000,0.7143,7.5000,100.0000,100.0000,0.0000,-4.5047,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,010140,2,0.0000,2.3217,2.8192,100.0000,100.0000,0.0000,-3.1577,손절선 과다 터치,keep,lower_entry_or_widen_stop,lower_tp1_target,15
한국주식,011070,2,0.0000,4.7277,6.0952,100.0000,0.0000,0.0000,-3.5012,익절 목표 과도,increase_atr_range,keep,lower_tp1_target,15
한국주식,012330,2,0.0000,2.9631,5.6630,100.0000,0.0000,0.0000,1.0244,방향 예측 실패,increase_atr_range,keep,lower_tp1_target,15
한국주식,012450,2,100.0000,0.3298,5.4045,100.0000,100.0000,0.0000,-2.7844,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,10
한국주식,015760,2,100.0000,0.7615,1.0897,100.0000,0.0000,100.0000,2.8736,예측 당시 주의사유 존재,keep,keep,keep,0
한국주식,018260,2,100.0000,1.0275,1.2669,100.0000,0.0000,100.0000,11.7090,예측 당시 주의사유 존재,keep,keep,keep,0
한국주식,034020,2,100.0000,1.5838,3.8545,100.0000,100.0000,0.0000,-2.8127,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,5
한국주식,035420,2,0.0000,0.6772,5.9524,100.0000,100.0000,0.0000,-2.0770,손절선 과다 터치,increase_atr_range,lower_entry_or_widen_stop,lower_tp1_target,20
한국주식,035720,2,100.0000,1.2426,2.7915,100.0000,100.0000,0.0000,-2.9873,손절선 과다 터치,keep,lower_entry_or_widen_stop,lower_tp1_target,5
