market,symbol,ticker,current_price,last_price,현재가,quote_source,quote_source_label,data_status,price_data_status,last_time,updated_at,quote_fallback_price,실시간현재가,current_price_source
us,COHR,COHR,377.57,377.57,$377.57,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,377.57,$377.57,KIS 해외 현재가
us,COIN,COIN,184.99,184.99,$184.99,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,184.99,$184.99,KIS 해외 현재가
us,COST,COST,1028.24,1028.24,"$1,028.24",KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,1028.24,"$1,028.24",KIS 해외 현재가
us,CRCL,CRCL,113.12,113.12,$113.12,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,113.12,$113.12,KIS 해외 현재가
us,CRDO,CRDO,218.41,218.41,$218.41,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,218.41,$218.41,KIS 해외 현재가
us,CRM,CRM,180.07,180.07,$180.07,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,180.07,$180.07,KIS 해외 현재가
us,CRWD,CRWD,663.46,663.46,$663.46,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,663.46,$663.46,KIS 해외 현재가
us,DDOG,DDOG,222.32,222.32,$222.32,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,222.32,$222.32,KIS 해외 현재가
us,DELL,DELL,295.19,295.19,$295.19,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,295.19,$295.19,KIS 해외 현재가
us,DUOL,DUOL,106.61,106.61,$106.61,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,106.61,$106.61,KIS 해외 현재가
us,ELF,ELF,52.9,52.9,$52.90,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,52.9,$52.90,KIS 해외 현재가
us,ESTC,ESTC,54.81,54.81,$54.81,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,54.81,$54.81,KIS 해외 현재가
us,ETN,ETN,391.35,391.35,$391.35,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,391.35,$391.35,KIS 해외 현재가
us,EXAS,EXAS,,,,Finnhub,Finnhub 보조 수신,API 현재가 수신,success,2026-05-26 10:12:37 KST,2026-05-26 10:12:37 KST,,,Finnhub 보조 수신
us,GE,GE,302.84,302.84,$302.84,KIS Overseas Open API,KIS 해외 현재가,API 현재가 수신,success,05-26 10:12 KST,2026-05-26 10:12:37 KST,302.84,$302.84,KIS 해외 현재가
