symbol,corp_code,name,year,revenue,operating_income,net_income,total_equity,total_debt,total_assets,current_assets,current_liabilities,retained_earnings,eps,eps_prev,per,pbr,shares_outstanding,market_cap,roe,debt_ratio,operating_margin,net_margin,revenue_growth,eps_growth,peg,div,quality_score,value_score,growth_score,updatedAt
010950,,S-Oil,2026,,,,,,,,,,,,9.5643,,,,10.345,87.527,13.77,2.76,-0.5,,,31.0,63.0,68.0,50.0,2026-06-22
011070,,LG이노텍,2026,,,,,,,,,,,,26.8546,,,,8.464,36.127,5.34,2.16,11.1,167.6,19.39,16.0,66.0,50.0,82.0,2026-06-22
011200,,HMM,2026,,,,,,,,,,,,16.0021,,,,5.356,20.599,9.9,13.88,-4.8,-48.0,,347.0,68.0,60.0,35.0,2026-06-22
012330,,현대모비스,2026,,,,,,,,,,,,10.7184,,,,7.227,7.529,5.16,5.66,5.5,-13.5,0.09,106.0,73.0,68.0,55.0,2026-06-22
012450,,한화에어로스페이스,2026,,,,,,,,,,,,18.3435,,,,18.46,91.24,11.11,5.95,4.9,284.9,,62.0,70.0,53.0,75.0,2026-06-22
015760,,한국전력,2026,,,,,,,,,,,,2.4052,,,,18.671,255.55,15.62,8.92,0.7,7.1,,407.0,55.0,75.0,60.0,2026-06-22
017670,,SK텔레콤,2026,,,,,,,,,,,,17.1114,,,,2.609,77.212,12.21,2.15,-1.4,-11.6,0.82,262.0,66.0,60.0,50.0,2026-06-22
018260,,삼성에스디에스,2026,,,,,,,,,,,,19.8734,,,,6.58,8.232,2.34,4.64,-3.9,-56.3,,150.0,73.0,53.0,35.0,2026-06-22
028670,,팬오션,2026,,,,,,,,,,,,6.2417,,,,5.544,79.732,9.34,5.84,8.3,31.1,,290.0,61.0,75.0,67.0,2026-06-22
030200,,KT,2026,,,,,,,,,,,,8.658,,,,8.652,63.276,7.05,5.48,-1.0,-33.5,4.42,450.0,66.0,68.0,35.0,2026-06-22
032640,,LG유플러스,2026,,,,,,,,,,,,7.7773,,,,5.873,63.942,7.16,3.45,1.5,8.0,0.73,449.0,61.0,75.0,60.0,2026-06-22
032830,,삼성생명,2026,,,,,,,,,,,,18.0836,,,,4.763,36.457,-83.02,11.51,59.3,187.2,1.51,107.0,46.0,53.0,70.0,2026-06-22
034020,,두산에너빌리티,2026,,,,,,,,,,,,90.2268,,,,2.369,56.514,5.46,0.88,13.7,,,,61.0,35.0,62.0,2026-06-22
034730,,SK,2026,,,,,,,,,,,,6.2476,,,,11.906,79.561,9.78,2.05,18.9,43.3,,110.0,66.0,75.0,74.0,2026-06-22
035420,,NAVER,2026,,,,,,,,,,,,15.1769,,,,5.72,17.168,16.71,14.52,16.3,-32.2,30.97,115.0,73.0,60.0,47.0,2026-06-22
035720,,카카오,2026,,,,,,,,,,,,21.7566,,,,3.85,19.891,10.89,5.92,11.1,-0.3,1.2,20.0,73.0,53.0,62.0,2026-06-22
035900,,JYP Ent.,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22
036930,,주성엔지니어링,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22
039030,,이오테크닉스,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22
039440,,에스티아이,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22
041510,,에스엠,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-22
042660,,한화오션,2026,,,,,,,,,,,,18.3509,,,,25.687,91.782,13.74,11.91,2.1,131.3,0.44,,78.0,53.0,75.0,2026-06-22
042700,,한미반도체,2026,,,,,,,,,,,,48.1212,,,,30.804,0.354,16.61,37.13,-65.5,-65.2,1.48,27.0,93.0,35.0,23.0,2026-06-22
047810,,한국항공우주,2026,,,,,,,,,,,,26.1791,,,,10.922,144.353,6.14,4.84,56.3,39.9,0.47,34.0,58.0,50.0,82.0,2026-06-22
